loc_rowid,tce_plnt_num,tce_period,tce_period_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_duration,tce_duration_err,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
13972,2,0.820639,1.18E-05,6.76E-03,7.55E-03,2.4328357,1.29E+01,82.92,4.99E+02,2.477,2.51E+00,1.409,1.57E+00,3.21E+03,8.16E+02,7375,307,4.05,0.29,1.911,0.958
13973,3,0.820692,2.83E-05,8.95E-03,9.16E-03,1.3143486,3.40E+00,46.6,2.19E+02,2.146,6.90E+00,1.867,1.91E+00,3.21E+03,8.16E+02,7375,307,4.05,0.29,1.911,0.958
13974,1,392.091,8.43E-03,3.36E-02,4.14E-03,121.96816,2.77E+01,89.6,1.25E-01,14.2,8.50E-01,3.777,4.65E-01,2.69E+02,5.82E+01,6241,188,4.45,0.28,1.031,0.442
13975,1,0.536528,7.39E-06,9.32E-03,1.28E-02,1.9974747,7.18E+00,87.88,1.89E+03,2.066,2.43E+00,0.7426,1.02E+00,1.75E+03,1.49E+02,5040,163,4.59,0.08,0.73,0.115
13976,1,0.536549,7.97E-06,2.94E-03,5.46E-04,1.5645374,8.81E-01,71.44,6.67E+01,2.281,8.83E-01,0.4588,8.53E-02,2.93E+03,7.08E+02,6365,182,4.15,0.25,1.431,0.688
13977,1,0.536533,6.49E-06,9.12E-03,8.64E-03,1.8030726,5.77E+00,89.87,3.57E+04,2.294,3.14E+00,1.04,9.86E-01,2.40E+03,5.10E+02,6164,232,4.45,0.28,1.045,0.437
13978,2,1.4494,2.44E-05,4.16E-03,6.54E-03,2.4764844,1.81E+01,89.55,1.04E+04,4.489,6.23E+00,0.796,1.25E+00,2.40E+03,6.04E+02,6854,278,4.09,0.29,1.752,0.87
13979,1,11.0184,7.36E-05,8.96E-02,9.00E-02,15.025868,4.42E+00,86.26,1.66E+00,2.661,2.36E-01,16.4,1.65E+01,1.05E+03,3.76E+02,5515,225,3.9,0.66,1.678,1.197
13980,1,6.15025,3.41E-07,6.83E-02,3.61E-03,11.611789,1.74E-01,85.12,1.02E-01,1.646,5.57E-03,21.38,1.13E+00,2.25E+03,5.30E+02,8914,405,3.9,0.25,2.867,1.324
13981,2,3.07512,1.12E-05,5.24E-03,5.86E-04,10.515176,7.45E+00,85.27,4.49E+00,1.138,6.70E-02,1.64,1.83E-01,2.84E+03,6.68E+02,8914,405,3.9,0.25,2.867,1.324
13982,1,1.12286,1.03E-05,4.95E-03,1.27E-03,4.0889713,5.50E+00,82.94,3.97E+01,1.825,1.60E-01,1.918,4.91E-01,3.85E+03,6.70E+02,7629,306,3.66,0.28,3.553,1.204
13983,2,0.561444,2.73E-05,2.71E-03,1.59E-03,2.2235086,5.79E+00,80.49,2.26E+02,1.8,1.18E+00,1.051,6.18E-01,4.85E+03,8.44E+02,7629,306,3.66,0.28,3.553,1.204
13984,1,10.2757,3.16E-04,9.35E-03,6.68E-03,4.7292658,1.01E+01,83.87,5.40E+01,14.5,1.18E+00,0.8287,5.92E-01,6.51E+02,7.21E+02,4787,175,4.52,0.91,0.812,1.798
13985,2,10.2748,4.41E-04,1.05E-02,7.24E-03,3.775544,7.79E+00,79.36,4.84E+01,15.21,3.18E+00,0.9268,6.42E-01,6.51E+02,7.21E+02,4787,175,4.52,0.91,0.812,1.798
13986,2,3.17472,7.64E-05,3.01E-03,6.37E-04,1.0013755,1.54E-03,26.3,7.14E-01,10.84,2.57E-01,0.9066,1.92E-01,2.27E+03,3.85E+02,7059,314,3.82,0.26,2.76,0.903
13987,3,0.739952,8.28E-06,1.08E-02,4.28E-04,1.0046341,9.54E-04,13.13,8.40E-01,1.428,6.39E-02,3.241,1.29E-01,3.69E+03,6.26E+02,7059,314,3.82,0.26,2.76,0.903
13988,1,1.60036,4.68E-05,5.32E-03,3.90E-04,1.0116748,5.31E-03,11.78,2.69E+00,2.088,3.09E-01,0.9922,7.26E-02,2.42E+03,6.88E+02,7289,337,4.13,0.32,1.709,0.96
13989,2,1.96539,2.61E-05,8.82E-03,3.42E-03,1.379656,1.55E+00,49.65,8.42E+01,5.104,5.44E+00,2.124,8.25E-01,2.62E+03,6.10E+02,7666,292,3.99,0.27,2.207,1.014
13990,3,1.96578,3.79E-05,7.95E-03,1.04E-02,2.5979222,1.62E+01,81.96,4.43E+02,5.435,5.43E+00,1.915,2.50E+00,2.62E+03,6.10E+02,7666,292,3.99,0.27,2.207,1.014
13991,1,0.982843,1.74E-05,5.29E-03,9.39E-03,2.2013754,1.69E+01,87.78,2.98E+03,3.416,6.65E+00,0.8348,1.48E+00,2.46E+03,7.68E+02,6742,272,4.24,0.35,1.445,0.896
